symbol,name,industry,isin,active,tradable
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,INE274J01014,1,1
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,INE213A01029,1,1
PAGEIND,Page Industries Ltd.,Textiles,INE761H01022,1,1
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,INE619A01035,1,1
PAYTM,One 97 Communications Ltd.,Financial Services,INE982J01020,1,1
PERSISTENT,Persistent Systems Ltd.,Information Technology,INE262H01021,1,1
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,INE347G01014,1,1
PFC,Power Finance Corporation Ltd.,Financial Services,INE134E01011,1,1
PHOENIXLTD,Phoenix Mills Ltd.,Realty,INE211B01039,1,1
PIDILITIND,Pidilite Industries Ltd.,Chemicals,INE318A01026,1,1
PIIND,PI Industries Ltd.,Chemicals,INE603J01030,1,1
PNB,Punjab National Bank,Financial Services,INE160A01022,1,1
POLICYBZR,PB Fintech Ltd.,Financial Services,INE417T01026,1,1
POLYCAB,Polycab India Ltd.,Capital Goods,INE455K01017,1,1
POWERGRID,Power Grid Corporation of India Ltd.,Power,INE752E01010,1,1
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,INE07Y701011,1,1
PREMIERENE,Premier Energies Ltd.,Capital Goods,INE0BS701011,1,1
PRESTIGE,Prestige Estates Projects Ltd.,Realty,INE811K01011,1,1
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,INE944F01028,1,1
RECLTD,REC Ltd.,Financial Services,INE020B01018,1,1
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018,1,1
RVNL,Rail Vikas Nigam Ltd.,Construction,INE415G01027,1,1
SAIL,Steel Authority of India Ltd.,Metals & Mining,INE114A01011,1,1
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,INE018E01016,1,1
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016,1,1
SBIN,State Bank of India,Financial Services,INE062A01020,1,1
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,INE513A01022,1,1
SHREECEM,Shree Cement Ltd.,Construction Materials,INE070A01015,1,1
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,INE721A01047,1,1
SIEMENS,Siemens Ltd.,Capital Goods,INE003A01024,1,1
SJVN,SJVN Ltd.,Power,INE002L01015,1,1
SOLARINDS,Solar Industries India Ltd.,Chemicals,INE343H01029,1,1
SRF,SRF Ltd.,Chemicals,INE647A01010,1,1
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,INE660A01013,1,1
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,INE044A01036,1,1
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,INE195A01028,1,1
SUZLON,Suzlon Energy Ltd.,Capital Goods,INE040H01021,1,1
SWIGGY,Swiggy Ltd.,Consumer Services,INE00H001014,1,1
TATACAP,Tata Capital Ltd.,Financial Services,INE976I01016,1,1
TATACOMM,Tata Communications Ltd.,Telecommunication,INE151A01013,1,1
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,INE192A01025,1,1
TATAELXSI,Tata Elxsi Ltd.,Information Technology,INE670A01012,1,1
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,INE672A01026,1,1
TATAPOWER,Tata Power Co. Ltd.,Power,INE245A01021,1,1
TATASTEEL,Tata Steel Ltd.,Metals & Mining,INE081A01020,1,1
TCS,Tata Consultancy Services Ltd.,Information Technology,INE467B01029,1,1
TECHM,Tech Mahindra Ltd.,Information Technology,INE669C01036,1,1
THERMAX,Thermax Ltd.,Capital Goods,INE152A01029,1,1
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,INE974X01010,1,1
TITAN,Titan Company Ltd.,Consumer Durables,INE280A01028,1,1
TMCV,Tata Motors Ltd.,Capital Goods,INE1TAE01010,1,1
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,INE155A01022,1,1
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,INE685A01028,1,1
TORNTPOWER,Torrent Power Ltd.,Power,INE813H01021,1,1
TRENT,Trent Ltd.,Consumer Services,INE849A01020,1,1
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,INE494B01023,1,1
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,INE686F01025,1,1
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,INE481G01011,1,1
UNIONBANK,Union Bank of India,Financial Services,INE692A01016,1,1
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,INE854D01024,1,1
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,INE405E01023,1,1
UPL,UPL Ltd.,Chemicals,INE628A01036,1,1
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,INE200M01039,1,1
VEDL,Vedanta Ltd.,Metals & Mining,INE205A01025,1,1
VMM,Vishal Mega Mart Ltd.,Consumer Services,INE01EA01019,1,1
VOLTAS,Voltas Ltd.,Consumer Durables,INE226A01021,1,1
WAAREEENER,Waaree Energies Ltd.,Capital Goods,INE377N01017,1,1
WIPRO,Wipro Ltd.,Information Technology,INE075A01022,1,1
YESBANK,Yes Bank Ltd.,Financial Services,INE528G01035,1,1
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,INE010B01027,1,1
